"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5909004211426","13.0635404586792","12.1936101913452","13.7853698730469","","11.4143199920654","12.2112998962402","","","","","","","17.9665908813477","17.2256298065186","16.464879989624","","",
"Afghanistan","AFG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44546985626221","9.78287029266357","6.89467000961304","8.99740028381348","9.53170013427734","8.1505298614502","",
"Angola","AGO","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.96417999267578","","8.24258041381836","7.67959022521973","10.0334596633911","10.1961097717285","","15.9406099319458","17.1248893737793","17.5743808746338","","14.7693300247192","13.175609588623","13.9635400772095","",
"Arab World","ARB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.27174997329712","5.87252998352051","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0050802230835","12.4854898452759","12.3609600067139","13.8027400970459","10.7655296325684","10.4994201660156","9.88181018829346","10.3822298049927","11.545599937439","12.6543703079224","13.6752395629883","14.7349100112915","13.614239692688","14.155369758606","14.5433197021484","14.3815698623657","14.3719501495361","","",
"Armenia","ARM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.138219833374","11.3394203186035","","11.3663396835327","",
"American Samoa","ASM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.13556957244873","","","","","","","",
"Australia","AUS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.65505027771","","","","","16.7568893432617","","","","","17.9288692474365","17.7126693725586","17.2870197296143","17.6407299041748","19.9465999603271","22.4116897583008","20.0661106109619","18.2391204833984","18.7934303283691","18.3929805755615","","",
"Austria","AUT","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5805206298828","24.4061698913574","22.5191898345947","22.489559173584","22.9068603515625","22.690710067749","22.0940704345703","22.7075901031494","22.7000694274902","22.2969608306885","23.3029594421387","25.2920608520508","25.0089797973633","24.7014503479004","21.9944705963135","23.5357799530029","23.363639831543","","",
"Azerbaijan","AZE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","12.6419200897217","9.59663963317871","10.7707099914551","11.2868099212646","","15.0078201293945","14.327919960022","","","14.8005599975586","17.6844902038574","","14.1951599121094","13.0895795822144","12.699179649353","","","",
"Belgium","BEL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7547798156738","17.9258804321289","19.2408008575439","19.2426490783691","19.3158798217773","19.8260192871094","19.9446201324463","21.8436794281006","21.5398998260498","22.4377002716064","22.3422393798828","","22.7214202880859","22.2238292694092","","",
"Benin","BEN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0605401992798","12.1735496520996","10.2473201751709","10.1998195648193","10.7823600769043","10.3607902526855","11.5966901779175","","11.8999700546265","12.786979675293","14.1309604644775","","11.1240701675415","10.8636198043823","9.89970970153809","9.41901016235352","",
"Burkina Faso","BFA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3232383728027","29.6245498657227","19.624059677124","","","18.1451301574707","16.9612998962402","16.3846702575684","18.2106494903564","20.400749206543","15.5645799636841","",
"Bangladesh","BGD","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","7.79486989974976","8.89377975463867","8.39165019989014","7.65813016891479","","8.26904010772705","","","","","7.09474992752075",
"Bulgaria","BGR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5262699127197","","","15.1227903366089","15.3562898635864","17.8587894439697","11.214750289917","22.2945594787598","21.7276191711426","20.3928604125977","22.5052299499512","22.5883808135986","20.966609954834","18.3742809295654","18.2675590515137","22.3601608276367","","","",
"Bahrain","BHR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7516498565674","10.5204296112061","11.2074499130249","",
"Bahamas, The","BHS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8765201568604","15.6770601272583","","","","12.4136600494385","13.6943502426147","14.0980100631714","","15.4488801956177","16.0503196716309","18.1594295501709","","14.965479850769","15.9446697235107","0","","",
"Bermuda","BMU","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4073600769043","10.9219598770142","","","","","11.9679899215698","","","","8.46154022216797","8.2576904296875","",
"Bolivia","BOL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4510297775269","14.2606296539307","12.6403999328613","","15.7689504623413","16.5964508056641","","","13.6284704208374","","18.4103393554688","21.7358894348145","20.7914009094238","17.1478404998779","23.3650207519531","16.2769908905029","23.481559753418","","",
"Brazil","BRA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.677300453186","10.6063899993896","10.4324703216553","9.88131046295166","","12.8353500366211","15.3884201049805","","17.1577205657959","18.3894290924072","19.9388599395752","20.804220199585","20.4481296539307","21.0228595733643","20.035400390625","","","",
"Barbados","BRB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4976501464844","14.0396900177002","19.3435897827148","17.712869644165","19.3174800872803","19.6868495941162","19.0256309509277","","","22.5445709228516","","","","","","","","",
"Brunei Darussalam","BRN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.06037998199463","","","","","","9.05064010620117",
"Bhutan","BTN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.15266036987305","10.2939596176147","","","7.31383991241455","9.03267002105713","7.83418989181519","9.56766986846924","","8.20341968536377","13.652379989624","31.6815299987793","",
"Botswana","BWA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9104194641113","","13.9888296127319","","10.3242998123169","","","","","","","",
"Central African Republic","CAF","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.31457996368408","5.34591007232666","","4.53002977371216","4.47791004180908","","","","","","",
"Canada","CAN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2333106994629","19.7018003463745","17.8587894439697","14.67982006073","17.0925650596619","21.7276191711426","19.1170902252197","22.0098247528077","21.6685390472412","22.0422649383545","19.6205654144288","18.842269897461","22.3601608276367","","","",
"Switzerland","CHE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6320095062256","21.0125694274902","20.0764503479004","21.0134696960449","22.4044208526611","22.7480201721191","22.7402000427246","21.978889465332","21.0797004699707","20.4694690704346","18.7331695556641","21.9095306396484","21.9874706268311","23.4344100952148","24.5307807922363","25.1668090820313","25.5142402648926","","",
"Channel Islands","CHI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5588302612305","11.8646898269653","","13.4473695755005","","14.9393997192383","14.0685901641846","11.9422197341919","11.2840700149536","10.4252700805664","11.2053499221802","13.8716802597046","16.1155605316162","14.5987596511841","15.0737400054932","16.9631099700928","15.8659601211548","14.2849102020264","15.3662796020508","",
"China","CHN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.90241003036499","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","14.2304096221924","14.4124298095703","13.0843200683594","12.7608804702759","","","","","16.0282306671143","16.1926898956299","15.168080329895","14.605299949646","","12.2168302536011","13.0738296508789","12.9910898208618","12.7856302261353","13.7544803619385","",
"Cameroon","CMR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.66658020019531","7.08528995513916","7.61296987533569","5.88425016403198","7.08904981613159","6.63896989822388","5.88078022003174","6.04014015197754","","","","",
"Congo, Dem. Rep.","COD","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.33168005943298","","","7.96081018447876","","","",
"Congo, Rep.","COG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.03642988204956","","","2.93432998657227","","","","","11.1202096939087","","","","","","",
"Colombia","COL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","13.478099822998","15.4698696136475","12.1071195602417","13.2040300369263","","","16.0149593353271","15.4826498031616","","12.4645004272461","12.3898801803589","15.62672996521","15.6549797058105","14.9524602890015","15.1569595336914","16.9692897796631","17.462459564209","17.7612590789795","",
"Comoros","COM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.24680042266846","","","","9.51972007751465","","","","","","28.499340057373","","","17.0076503753662","","14.8219604492188","17.5356006622314","","",
"Cabo Verde","CPV","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4989204406738","","","19.5287704467773","18.6672401428223","13.5479698181152","12.5258903503418","15.486029624939","","15.5873603820801","","14.3801603317261","","","",
"Costa Rica","CRI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2982997894287","15.5227098464966","15.0099601745605","16.3427906036377","","16.7530193328857","","14.4176902770996","14.7905101776123","16.1004104614258","21.0534191131592","24.2722492218018","23.0414791107178","24.6092205047607","24.6237106323242","25.1477203369141","26.801549911499","",
"Caribbean small states","CSS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4167098999023","11.3622198104858","15.4537200927734","11.4282751083374","9.62185955047607","12.7514095306396","","12.8279547691345","12.8167753219604","16.3598251342774","21.0800704956055","20.6491298675537","21.2244491577148","22.1539497375488","21.8549308776855","20.6642093658447","",
"Cuba","CUB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.2353401184082","25.0207405090332","28.2626991271973","28.8430004119873","37.202449798584","","40.4500694274902","40.2657814025879","33.6425895690918","45.7038116455078","46.408390045166","43.4801292419434","49.4273109436035","","","","","","",
"Curacao","CUW","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0411100387573","","","",
"Cayman Islands","CYM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7567100524902","14.6387701034546","17.292200088501","18.1109008789063","21.2558708190918","19.7283191680908","20.4006195068359","21.7661800384521","23.3652896881104","25.8704490661621","28.8867607116699","30.8800201416016","32.1670112609863","","31.4124698638916","32.3251304626465","","",
"Czech Republic","CZE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.674880027771","10.3987703323364","10.5888595581055","10.2057304382324","10.8184404373169","11.731650352478","11.6501197814941","11.4970598220825","12.3956899642944","11.975079536438","12.4621200561523","15.0862102508545","14.8960103988647","15.4064903259277","15.7017202377319","15.5311899185181","","","",
"Germany","DEU","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4901008605957","","","","","","","","15.6047201156616","15.1313800811768","15.1008100509644","17.18869972229","17.6618194580078","17.3780193328857","17.3074398040771","17.9271392822266","17.8984699249268","","",
"Djibouti","DJI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.8991889953613","","","","","","","","21.3567504882813","22.5455894470215","22.9212303161621","","","","","","","","",
"Dominica","DMA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6958599090576","17.4377002716064","13.6152000427246","15.0876703262329","14.9237499237061","13.6004295349121","","","","",
"Denmark","DNK","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3372192382813","24.0507698059082","23.6179008483887","24.8068199157715","23.9788608551025","","24.2206802368164","24.6046104431152","23.9404296875","23.8176002502441","24.1560592651367","28.0810508728027","28.0728397369385","21.8441009521484","25.723180770874","25.6116790771484","","","",
"Dominican Republic","DOM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8060097694397","","4.53618001937866","6.93921995162964","","8.42385959625244","6.8448600769043","6.86451005935669","7.20612001419067","7.02701997756958","8.85503959655762","13.8223695755005","14.3910398483276","14.3051996231079","",
"Algeria","DZA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2406597137451","9.9440803527832","","11.0345296859741","11.5218000411987","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1615495681763","12.3441600799561","15.6712799072266","17.2571697235107","15.996129989624","","","",
