,id,name_DOL,num_territories,region,region_id,name_WB,net_migration_2012,net_imports_2012,net_imports_2013,net_imports_2014,net_imports_2015,net_imports_2016,Country Name,net_exports_2012,net_exports_2013,net_exports_2014,net_exports_2015,net_exports_2016,name_HTI
0,1,Afghanistan,0,Asia & the Pacific,1,Afghanistan,448007,0.391423974,0.497577749,0.457738771,0.48801615,0.490249773,Afghanistan,0.055168503,0.06307895,0.065677001,0.070021169,0.068962496,Afghanistan
1,10,Bangladesh,0,Asia & the Pacific,1,Bangladesh,-2526483,0.279493339,0.267585286,0.255244202,0.247493242,0.213045839,Bangladesh,0.201615889,0.195378741,0.1898966,0.173366749,0.166497169,Bangladesh
2,13,Bhutan,0,Asia & the Pacific,1,Bhutan,10000,0.63038593,0.622755707,0.573379826,0.59972815,0.521286542,Bhutan,0.387253343,0.404599045,0.362846374,0.328844107,0.294068181,Bhutan
3,21,Burma,0,Asia & the Pacific,1,Myanmar,-474278,0.108862545,0.189456607,0.221684723,0.265365952,0.263741777,Myanmar,0.114983611,0.196350983,0.200903399,0.207801719,0.164111926,Myanmar
4,24,Cambodia,0,Asia & the Pacific,1,Cambodia,-149999,0.627794099,0.666879273,0.667083798,0.661456432,0.65668504,Cambodia,0.579559898,0.61492924,0.623228432,0.617184238,0.612815249,Cambodia
5,29,China,0,Asia & the Pacific,1,China,-1698448,0.226996642,0.220602538,0.215719075,0.184891401,0.174153165,China,0.254081972,0.245049821,0.240800168,0.219732252,0.196440669,China
6,48,Fiji,0,Asia & the Pacific,1,Fiji,-28720,0.641732414,0.694840308,0.636436828,0.582468438,0,Fiji,0.611111437,0.566686518,0.555887959,0.518087491,0,Fiji
7,61,India,0,Asia & the Pacific,1,India,-2578213,0.312592911,0.284132706,0.260018606,0.22254857,0.206344926,India,0.245344307,0.254308613,0.23009335,0.199432566,0.191764735,India
8,62,Indonesia,0,Asia & the Pacific,1,Indonesia,-835000,0.249885195,0.247137963,0.24414191,0.207222625,0.183058973,Indonesia,0.245943788,0.239235764,0.236659846,0.211512894,0.190809065,Indonesia
9,67,Kazakhstan,0,Asia & the Pacific,1,Kazakhstan,159807,0.296140695,0.267905716,0.256302766,0.245330208,0.291630523,Kazakhstan,0.44109663,0.386170377,0.393417581,0.28516708,0.326406388,Kazakhstan
10,69,Kiribati,0,Asia & the Pacific,1,Kiribati,-2130,0.928350985,0.927759439,0.912690319,0.9665086,1.010372349,Kiribati,0.132621569,0.125372897,0.124017368,0.124801596,0.11704713,Kiribati
11,71,Kyrgyz Republic,0,Asia & the Pacific,1,Kyrgyz Republic,-137902,0.952717369,0.917766317,0.876775295,0.735229718,0,Kyrgyz Republic,0.44404201,0.42250154,0.374486516,0.372708829,0,Kyrgyzstan
12,78,Malaysia,0,Asia & the Pacific,1,Malaysia,781650,0.685419114,0.670921145,0.645173914,0.632506693,0.608433167,Malaysia,0.792998926,0.756290171,0.737920551,0.709044069,0.672398535,Malaysia
13,79,Maldives,0,Asia & the Pacific,1,Maldives,21916,0.84860151,0.859867257,0.89070503,0.807530678,0.890336931,Maldives,0.985725074,1.047469415,1.07243772,0.914269487,0.937620247,Maldives
14,85,Mongolia,0,Asia & the Pacific,1,Mongolia,-15001,0.660164131,0.61421752,0.570733131,0.446729061,0.468030094,Mongolia,0.435721512,0.388902373,0.522489986,0.45677791,0.507766636,Mongolia
15,91,Nepal,0,Asia & the Pacific,1,Nepal,-372369,0.335843137,0.374569251,0.40750108,0.41662643,0.393584219,Nepal,0.10073893,0.106890752,0.115050876,0.116749912,0.106579554,Nepal
16,97,North Korea,0,Asia & the Pacific,1,"Korea, Dem. People’s Rep.",-27013,0,0,0,0,0,"Korea, Dem. People’s Rep.",0,0,0,0,0,"Korea, North"
17,99,Pakistan,5,Asia & the Pacific,1,Pakistan,-1181920,0.204088394,0.200564453,0.18658661,0.170191981,0.158213495,Pakistan,0.123966628,0.132771534,0.122425836,0.10585094,0.086945208,Pakistan
18,101,Papua New Guinea,0,Asia & the Pacific,1,Papua New Guinea,-1001,0,0,0,0,0,Papua New Guinea,0,0,0,0,0,Papua New Guinea
19,104,Philippines,0,Asia & the Pacific,1,Philippines,-650000,0.340803964,0.322276125,0.325589072,0.342942871,0.369338604,Philippines,0.308190472,0.280176768,0.289127249,0.283957217,0.279650894,Philippines
20,112,Samoa,0,Asia & the Pacific,1,Samoa,-12690,0.51747766,0.493880041,0.524547964,0.486851498,0.498785588,Samoa,0.269544516,0.289508454,0.278099591,0.274658631,0.293527281,Samoa
21,117,Solomon Islands,0,Asia & the Pacific,1,Solomon Islands,-11868,0.634849363,0.668305402,0.620419683,0.545224639,0,Solomon Islands,0.619631698,0.564313233,0.514520926,0.460920846,0,Solomon Island
22,122,Sri Lanka,0,Asia & the Pacific,1,Sri Lanka,-484772,0.316756031,0.28937394,0.291621144,0.285428968,0.290775968,Sri Lanka,0.198164847,0.203203982,0.21088765,0.210110398,0.214435335,Sri Lanka
23,125,Tajikistan,0,Asia & the Pacific,1,Tajikistan,-99999,0.690849452,0.683323578,0.448485445,0.422865717,0,Tajikistan,0.215400245,0.191782533,0.090551731,0.105038327,0,Tajikistan
24,127,Thailand,0,Asia & the Pacific,1,Thailand,167314,0.687234617,0.652586075,0.626370833,0.574984029,0.541951337,Thailand,0.697751962,0.680860535,0.694286444,0.690868081,0.689297132,Thailand
25,128,Timor-Leste,0,Asia & the Pacific,1,Timor-Leste,-50004,1.247486466,0.99695122,0.956397427,0,0,Timor-Leste,0.095901005,0.077743902,0.057898499,0,0,Timor-Leste
26,131,Tonga,0,Asia & the Pacific,1,Tonga,-8078,0.600021805,0.598423562,0.564748479,0.606708334,0,Tonga,0.188612696,0.215307397,0.184994588,0.175267456,0,Tonga
27,134,Turkmenistan,0,Asia & the Pacific,1,Turkmenistan,-50002,0.4439319,0,0,0,0,Turkmenistan,0.732580989,0,0,0,0,Turkmenistan
28,135,Tuvalu,0,Asia & the Pacific,1,Tuvalu,,0,0,0,0,0,Tuvalu,0,0,0,0,0,Tuvalu
29,139,Uzbekistan,0,Asia & the Pacific,1,Uzbekistan,-66469,0.324843516,0.308888453,0.270860816,0.221174269,0.214871616,Uzbekistan,0.273347888,0.266004613,0.230808223,0.206124303,0.20617946,Uzbekistan
30,140,Vanuatu,0,Asia & the Pacific,1,Vanuatu,604,0.508389146,0.512961228,0.493913461,0,0,Vanuatu,0.490878962,0.478239648,0.485557901,0,0,Vanuatu
31,142,Vietnam,0,Asia & the Pacific,1,Vietnam,-200002,0.765253115,0.814681017,0.831297555,0.889881661,0.910623393,Vietnam,0.800286188,0.836261431,0.864047689,0.897792486,0.936239391,Vietnam
32,2,Albania,0,Europe & Eurasia,2,Albania,-93425,0.519868678,0.534805518,0.472247976,0.445201896,0.455801112,Albania,0.333516426,0.354490589,0.28230908,0.272591712,0.287398352,Albania
33,7,Armenia,0,Europe & Eurasia,2,Armenia,-30535,0.484000215,0.481970693,0.470465461,0.419613127,0.433062545,Armenia,0.275667219,0.283591265,0.285651387,0.29796196,0.331427502,Armenia
34,8,Azerbaijan,0,Europe & Eurasia,2,Azerbaijan,0,0.252884334,0.266510261,0.262056461,0.348067304,0.436725083,Azerbaijan,0.529743899,0.483271459,0.432609211,0.377947775,0.464519419,Azerbaijan
35,15,Bosnia and Herzegovina,4,Europe & Eurasia,2,Bosnia and Herzegovina,-161371,0.558577379,0.541778893,0.567958545,0.535739003,0,Bosnia and Herzegovina,0.323823586,0.337875133,0.341370438,0.345800762,0,Bosnia
36,19,British Virgin Islands,0,Europe & Eurasia,2,British Virgin Islands,,0,0,0,0,0,British Virgin Islands,0,0,0,0,0,British Virgin Islands
37,51,Georgia,0,Europe & Eurasia,2,Georgia,-305269,0.577983248,0.576413824,0.604701484,0.622702268,0.591263103,Georgia,0.381505226,0.446892324,0.429436172,0.447379567,0.434813907,Georgia
38,70,Kosovo,0,Europe & Eurasia,2,Kosovo,,0.541212662,0.496010663,0.512168837,0.511588663,0.511052816,Kosovo,0.233482187,0.219009894,0.225020207,0.21937528,0.224949456,Kosovo
39,75,Macedonia,0,Europe & Eurasia,2,"Macedonia, FYR",-8853,0.668405817,0.614607554,0.648750737,0.650261536,0.637972083,"Macedonia, FYR",0.453744673,0.433964745,0.476628553,0.488030238,0.492444895,Macedonia
40,84,"Moldova, Republic of",0,Europe & Eurasia,2,Moldova,-9529,0.839418408,0.805959606,0.785265506,0.738634009,0.71758046,Moldova,0.434829163,0.433439459,0.415332441,0.428045299,0.436270413,Moldova
41,86,Montenegro,0,Europe & Eurasia,2,Montenegro,-3112,0.68093583,0.614285702,0.599839152,0.610685088,0.656650559,Montenegro,0.436724967,0.4134236,0.401437048,0.424640815,0.422344613,Montenegro
42,106,Russia,0,Europe & Eurasia,2,Russian Federation,1017884,0.205999494,0.210104017,0.206459224,0.206038213,0.205544514,Russian Federation,0.273803359,0.266265433,0.270530207,0.286672466,0.257128798,Russia
43,114,Serbia,0,Europe & Eurasia,2,Serbia,-99999,0.535966356,0.519093034,0.542229624,0.56426365,0.582455761,Serbia,0.369283182,0.412003637,0.433759034,0.466736745,0.509147297,Serbia
44,133,Turkey,0,Europe & Eurasia,2,Turkey,1627172,0.28577944,0.280780694,0.276497694,0.259577521,0.250227414,Turkey,0.236673659,0.222722551,0.237643348,0.233311266,0.220585132,Turkey
45,137,Ukraine,0,Europe & Eurasia,2,Ukraine,-200000,0.563722841,0.521929459,0.520988207,0.544839843,0.555193435,Ukraine,0.354154609,0.429567198,0.485929618,0.525976795,0.492880947,Ukraine
46,3,Algeria,0,Middle East & North Africa,3,Algeria,-143268,0.28516014,0.303967957,0.319008347,0.367892885,0.344120486,Algeria,0.368925951,0.332053861,0.304629968,0.23564476,0.237125217,Algeria
47,9,Bahrain,0,Middle East & North Africa,3,Bahrain,42000,0.837417205,0.861203405,0.795138994,0.716548808,0,Bahrain,1.021472547,1.036629237,0.960507512,0.845828363,0,Bahrain
48,43,Egypt,0,Middle East & North Africa,3,"Egypt, Arab Rep.",-275026,0.243148027,0.233551924,0.226760563,0.216620975,0.196027028,"Egypt, Arab Rep.",0.163969666,0.170178456,0.142441315,0.131838455,0.103533582,Egypt
49,63,Iran,0,Middle East & North Africa,3,"Iran, Islamic Rep.",-400001,0.207319689,0.197884541,0.188942098,0.192739164,0,"Iran, Islamic Rep.",0.223608964,0.274738739,0.241687939,0.197433856,0,Iran
50,64,Iraq,2,Middle East & North Africa,3,Iraq,463665,0.291002491,0.360113304,0.369489035,0.40970772,0.39256992,Iraq,0.444487292,0.396763889,0.413384503,0.349587565,0.325588406,Iraq
51,66,Jordan,0,Middle East & North Africa,3,Jordan,975285,0.742647535,0.719539953,0.697382482,0.604898504,0.559405362,Jordan,0.462466833,0.423518243,0.433331335,0.375881826,0.351213348,Jordan
