"","country","ccode","year","tier","minstand","efforts","TRAFFICKING_FLOWS","source","source_order","transit","transit_order","destination","destination_order","internal","TRAFFICKING_TYPES","psource","ptransit","pdest","pinternal","lsource","ltransit","ldest","linternal","dsource","dtransit","ddest","dinternal","dssource","dstransit","dsdest","dsinternal","cpsource","cptransit","cpdest","cpinternal","clsource","cltransit","cldest","clinternal","cssource","cstransit","csdest","csinternal","PROSECUTION","domesticlaws","enforcement","convictinfo","prosnum","PROTECTION","protectprogress","victimid","victimservices","victimpunish","PREVENTION","preventprogress","INTERNATIONAL_LAWS","UNP_sign","UNP_rat","ILO182","ILO29","ILO105","CEDAW_sign","CEDAW_rat","UNCRC_sign","UNCRC_rat","conflict_sign","conflict_rat"
"1","United States",2,2001,-99,0,0,NA,0,0,1,1,1,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,NA,NA,1,0,0,0,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"2","United States",2,2002,-99,0,0,NA,0,0,1,1,1,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,NA,NA,0,0,0,0,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"3","United States",2,2003,-99,0,0,NA,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,0,NA,NA,1,0,-1,0,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"4","United States",2,2004,-99,0,0,NA,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,1,NA,NA,1,0,-1,0,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"5","United States",2,2005,-99,0,0,NA,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,1,59,NA,1,0,-1,0,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"6","United States",2,2007,-99,0,0,NA,1,1,0,0,1,2,1,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,NA,2,2,1,186,NA,1,0,-1,0,NA,1,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"7","United States",2,2008,-99,0,0,NA,0,0,0,0,1,1,1,NA,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,2,2,1,195,NA,1,0,-1,0,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"8","United States",2,2009,-99,0,0,NA,0,0,0,0,1,1,1,NA,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,2,2,1,230,NA,1,0,-1,0,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"9","United States",2,2010,1,1,1,NA,1,1,1,2,1,3,0,NA,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,NA,2,2,1,265,NA,1,1,-1,1,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"10","United States",2,2011,1,1,2,NA,1,1,1,2,1,3,0,NA,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,NA,2,2,1,181,NA,1,1,-1,1,NA,2,NA,"13 Dec 2000Ê","Ê3 Nov 2005Ê",1999-12-02,NA,1991-09-25,"17 Jul 1980Ê","","Ê5 Jul 2000Ê","23 Dec 2002Ê","Ê5 Jul 2000Ê","23 Dec 2002Ê"
"11","Canada",20,2001,1,1,1,NA,0,0,1,1,1,2,1,NA,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,NA,NA,0,0,0,0,NA,0,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"12","Canada",20,2002,1,1,1,NA,0,0,1,2,1,1,0,NA,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,NA,2,2,0,NA,NA,0,0,1,0,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"13","Canada",20,2003,2,-1,1,NA,0,0,1,2,1,1,0,NA,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,1,0,NA,NA,0,0,1,0,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"14","Canada",20,2004,1,1,1,NA,0,0,1,2,1,1,1,NA,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,2,2,1,40,NA,0,0,1,0,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"15","Canada",20,2005,1,1,1,NA,0,0,1,2,1,1,1,NA,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,2,0,1,19,NA,0,0,1,-1,NA,2,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
"16","Canada",20,2006,1,1,1,NA,1,1,1,2,1,3,1,NA,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,NA,2,2,1,15,NA,0,0,0,0,NA,1,NA,"14 Dec 2000Ê","13 May 2002Ê",2000-06-06,2011-06-13,1959-07-14,"17 Jul 1980Ê","10 Dec 1981Ê","10 Nov 2001Ê","14 Sep 2005Ê","Ê5 Jun 2000Ê","Ê7 Jul 2000Ê"
